FID,Status,Narrative,Date_Time_,Quarter,Date_Time1,Location_1,Location_2,Location_3,Location_4,Location_5,Location_6,Location_7,Location_8,Location_9,Locatio_10,Locatio_11,Locatio_12,Func__Loca,Location_L,Locatio_13,Location_N,Actor_1__P,Actor_1__1,Actor_1__2,Actor_1__3,Actor_2__T,Actor_2__1,Actor_2__2,Actor_2__3,Act_OLD_1,Act_OLD_2,Act_OLD_3,Act_OLD_Mo,Act_1,Act_2,Act_3,Act_4,Act_Mode,NGO_Incide,Section,Region,Inserted_O,Inserted_1,Incident,lon,lat
14,Verified,"Four OAG operatives with rifles and on foot arrived at farmland and abducted a male civilian while cutting thatch grass. Shortly after, the operatives contacted the family members of the abductee and told them to wait for the amount that would be demande",30/12/2022,4th,12:00,Nigeria,nga,Adamawa,NG002,Madagali,NG002010,Mandarka,NGA11163, , , , ,Farmland,10.916823,13.581456, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Kidnap, ,Perpetrated, , , ,31/12/2022,20:56,nga:63b09726,13.581456,10.916823
15,Verified,"OAG operatives with rifles set up an informal VCP along the road. They stopped several commercial vehicles in transit and robbed passengers of money and other valuables before allowing them to continue their journey. Additionally, they abducted thirteen",30/12/2022,4th,10:00,Nigeria,nga,Borno,NG008,Nganzai,NG008026,Zundur,NGA23648, , , , ,Vehicle Check Point (VCP),12.30995,13.12926, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Unresolved Abduction, ,Perpetrated, ,MAIDUGURI - GAJIRAM RD, ,30/12/2022,11:55,nga:63aec610,13.12926,12.30995
16,Verified,"OAG operatives with rifles ambushed a GF/NA convoy in transit along the road on the outskirts of the town, prompting the GF to retreat without returning fire. No casualties were reported.",30/12/2022,4th,09:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Komala,NGA19473, , , , ,Road/Roadside,11.4878,12.967, ,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, ,MAIDUGURI - DAMBOA RD, ,30/12/2022,10:40,nga:63aeb2dc,12.967,11.4878
17,Verified,Two OAG operatives with rifles and on foot arrived at a farmland and abducted a male civilian while cutting thatch.,30/12/2022,4th,09:00,Nigeria,nga,Adamawa,NG002,Madagali,NG002010,Gubula,NGA11134, , , , ,Farmland,10.866667,13.583333, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Unresolved Abduction, ,Perpetrated, , , ,31/12/2022,20:50,nga:63b094d4,13.583333,10.866667
18,Verified,"GF/NA members, while on patrol along a secondary road, sighted OAG operatives at the location and opened small arms fire at them. The operatives retreated without returning fire. No casualties were reported.",30/12/2022,4th,08:00,Nigeria,nga,Borno,NG008,Abadam,NG008001,Arege,NGA12314, , , , ,Road/Roadside,13.4892,13.3286,Secondary Road.,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,31/12/2022,17:44,nga:63b069ca,13.3286,13.4892
19,Verified,"An OAG operative with a rifle approached a GF/NA position and surrendered. The operative disclosed that on their way to surrender, suspected ISWAP operatives attacked and killed four operatives and stole four rifles at the outskirts of Bazamri, Konduga L",30/12/2022,4th,06:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Konduga,NGA19476, , , , ,Minor Outpost or Camp (Any actor),11.653312,13.41787, ,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Misc. Events,Surrender, , ,Perpetrated, , , ,30/12/2022,11:23,nga:63aebdba,13.41787,11.653312
22,Verified,"OAG operatives with rifles and on several motorcycles attacked a GF/NA position stationed at the northern outskirts of the location, prompting GF to return fire for about 30 minutes until the operatives retreated. No casualties were reported.",30/12/2022,4th,00:00,Nigeria,nga,Borno,NG008,Ngala,NG008025,Logomani,NGA22817, , , , ,Minor Outpost or Camp (Any actor),12.197632,14.022304,GF Position,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,30/12/2022,11:36,nga:63aec1b6,14.022304,12.197632
24,Verified,"GF/NA opened small arms fire towards the outskirts of the town upon sighting movements of suspected OAG operatives, prompting the operatives to return fire. The armed clash lasted for several minutes until the operatives retreated. During the armed clash",29/12/2022,4th,21:00,Nigeria,nga,Borno,NG008,Mafa,NG008019,Ajiri,NGA20285, , , , ,Population Centre Outskirts,12.094003,13.458239, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,20/12/2022,10:48,nga:63a18599,13.458239,12.094003
25,Verified,Suspected OAG/ISWAP operatives with rifles and on motorcycles attacked five suspected OAG/JAS operatives while the JAS operatives were on their way to surrender to GF/NA. Suspected ISWAP operatives shot and killed four suspected JAS operatives and stole,29/12/2022,4th,21:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Bazamri,NGA19226, , , , ,N/A,11.6743,13.4526, ,OAG,Unknown OAG (NGA), , ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,30/12/2022,11:20,nga:63aebbbf,13.4526,11.6743
30,Verified,"OAG operatives with rifles, a light truck loaded with HMG, and several motorcycles arrived at a fishing spot. Reportedly, when the operatives inquired about one fellow operative, one fisherman told them he had died and was buried. The operatives, suspect",29/12/2022,4th,06:00,Nigeria,nga,Borno,NG008,Mafa,NG008019,Dunge,NGA100660, , , , ,Waterways,12.02816,13.26863, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,29/12/2022,11:30,nga:63ad6dc2,13.26863,12.02816
31,Verified,"A suspected OAG logistics supplier fled from GF/NA custody after he was invited by GF for questioning. Reportedly, the suspect came from Bosso to GF in Ngala upon GF’s invitation. However, after spending two days in GF custody, he fled.",29/12/2022,4th,01:00,Nigeria,nga,Borno,NG008,Ngala,NG008025,Ngala,NGA22844, , , , ,Minor Outpost or Camp (Any actor),12.340206,14.186725, ,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Other Act, , , ,Perpetrated, , , ,30/12/2022,11:11,nga:63aebb0f,14.186725,12.340206
33,Verified,"OAG operatives with rifles and on motorcycles arrived at the location and began shooting sporadically into the air, prompting the civilians to flee. No casualties or looting were reported.",28/12/2022,4th,22:00,Nigeria,nga,Adamawa,NG002,Madagali,NG002010,Tur,NGATu1648548522807, , , , ,N/A,10.90941,13.72223, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,29/12/2022,10:45,nga:63ad63fe,13.72223,10.90941
34,Verified,"GF/NPF, acting on a tip-off, arrested a male civilian with a motorcycle suspected of having stolen it from Gombe State. Reports indicated that the owner of the motorcycle identified it and informed GF/NPF, prompting the arrest. GF recovered the stolen mo",28/12/2022,4th,18:00,Nigeria,nga,Adamawa,NG002,Numan,NG002016,Kapalakan,NGA11777, , , , ,N/A,9.533333,12.05, ,Government Forces,Police,Nigerian Police Force (NPF), ,Criminal,Individual Criminal(s), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,29/12/2022,11:26,nga:63ad6bb8,12.05,9.533333
35,Verified,OAG operatives with rifles and on foot arrived at the farmland and stole four bicycles parked at a nearby farmland while the farmers were working.,28/12/2022,4th,14:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Kayamla,NGA19454, , , , ,Farmland,11.692042,13.22025, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, , , ,30/12/2022,10:04,nga:63aeaa4b,13.22025,11.692042
36,Verified,OAG operatives with rifles and on 10 motorcycles set up an informal VCP along the road. They stopped several commercial vehicles in transit and robbed the passengers of money and other valuables before allowing them to continue their journey.,28/12/2022,4th,13:00,Nigeria,nga,Borno,NG008,Nganzai,NG008026,Mile 40,NGA23472, , , , ,Vehicle Check Point (VCP),12.38158,13.15391, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, ,MAIDUGURI - GAJIRAM RD, ,28/12/2022,15:28,nga:63ac5526,13.15391,12.38158
37,Verified,"OAG operatives with rifles arrived on several motorcycles and attacked a GF/NA position, prompting the GF to return fire for several minutes until the operatives retreated. During the armed clash, the operatives shot and injured three repentant OAGs work",28/12/2022,4th,13:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Ngauri,NGA13421, , , , ,Minor Outpost or Camp (Any actor),11.46262,14.05525, ,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,30/12/2022,11:32,nga:63aebf43,14.05525,11.46262
38,Verified,"GF/NA restricted pedestrian movement out of the town for farming or lumbering, following the OAG attack on 27.12.2022.",28/12/2022,4th,10:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Konduga,NGA19476, , , , ,Road/Roadside,11.653312,13.41787, ,Government Forces,Army,Nigerian Army (NA), ,General Public,Other General Public, , , , , , ,Misc. Events,Other Misc. Events, , ,Perpetrated, , , ,28/12/2022,14:33,nga:63ac4770,13.41787,11.653312
39,Verified,GF/NA restricted vehicular movements along the Maiduguri-Damboa road. The reason for the restrictions was unknown.,28/12/2022,4th,09:00,Nigeria,nga,Borno,NG008,Jere/maiduguri,NG008013,Maiduguri,NGA21518, , , , ,Road/Roadside,11.78039,13.11982, ,Government Forces,Army,Nigerian Army (NA), ,General Public,Other General Public, , , , , , ,Misc. Events,Other Misc. Events, , ,Perpetrated, ,MAIDUGURI - DAMBOA RD, ,28/12/2022,16:59,nga:63ac6a2d,13.11982,11.78039
40,Verified,GF/NA fired two artillery projectiles toward Guduf Mountain upon reports of suspected OAG movement. No casualties were reported.,28/12/2022,4th,07:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Gwoza,NGA17121, , , , ,Population Centre Outskirts,11.08309,13.694164, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,"Artillery, Rockets & Missiles",Artillery, ,Perpetrated, , , ,28/12/2022,09:09,nga:63abfa8a,13.694164,11.08309
41,Verified,"Several OAG operatives with rifles and on ten motorcycles arrived at a herder’s settlement. They opened small arms fire, prompting the herders to flee. They rustled some cattle before leaving. Subsequently, the herders mobilised to the operatives’ lo",28/12/2022,4th,02:00,Nigeria,nga,Borno,NG008,Jere/maiduguri,NG008013,Asanti,NGA18258, , , , ,Population Centre Outskirts,11.956259,13.144901,2km Northwest to Asanti.,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,29/12/2022,10:39,nga:63ad60a1,13.144901,11.956259
43,Verified,"OAG operatives with rifles and on foot arrived at the location and attacked the GF/NA position on the outskirts of the location, prompting the GF to return fire. The armed clash lasted for several minutes until GF temporarily retreated and abandoned a ri",27/12/2022,4th,23:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Konduga,NGA19476, , , , ,Minor Outpost or Camp (Any actor),11.65638,13.41427,GF Position,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,28/12/2022,09:17,nga:63abfda5,13.41427,11.65638
44,Verified,"OAG operatives with rifles arrived on several motorcycles and attacked a GF/NA position, prompting the GF to respond until the operatives retreated. There were no reported casualties.",27/12/2022,4th,22:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Darel Jamal,NGA13207, , , , ,Minor Outpost or Camp (Any actor),11.3265,13.9665, ,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,31/12/2022,20:52,nga:63b095ae,13.9665,11.3265
45,Verified,GF/NA fired at least three artillery projectiles toward Kurana Bassa Mountain upon reports of suspected OAG movement. No casualties were reported.,27/12/2022,4th,16:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Gwoza,NGA17121, , , , ,Population Centre Outskirts,11.08309,13.694164, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,"Artillery, Rockets & Missiles",Artillery, ,Perpetrated, , , ,28/12/2022,08:29,nga:63abf3fc,13.694164,11.08309
46,Verified,"OAG operatives with rifles arrived at the outskirts of the location and opened small arms fire, prompting GF/NA to deploy to the location and engage the operatives in an exchange of fire that lasted for several minutes until the operatives retreated. The",27/12/2022,4th,01:00,Nigeria,nga,Borno,NG008,Monguno,NG008024,Monguno,NGA22707, , , , ,N/A,12.67767,13.62753, ,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,27/12/2022,09:44,nga:63aab08c,13.62753,12.67767
47,Verified,GF/NA fired three heavy artillery projectiles toward the outskirts of the town upon reports of heightened OAG presence. No casualties were reported.,26/12/2022,4th,20:00,Nigeria,nga,Borno,NG008,Monguno,NG008024,Monguno,NGA22707, , , , ,Population Centre Outskirts,12.671276,13.616704, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,"Artillery, Rockets & Missiles",Artillery, ,Perpetrated, , , ,27/12/2022,09:17,nga:63aaaafe,13.616704,12.671276
48,Verified,"OAG operatives with rifles arrived at the location and attacked a GF/NA position with small arms fire, prompting the GF to return fire. The armed clash lasted for several minutes until the operatives retreated. During the armed clash, GF shot and killed",26/12/2022,4th,19:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Yaleri Kurna,NGA19723, , , , ,Minor Outpost or Camp (Any actor),11.67733,13.4123,GF Position,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,27/12/2022,08:47,nga:63aaa40b,13.4123,11.67733
49,Verified,"OAG operatives with rifles arrived on several motorcycles and attacked a GF/NA position, prompting the GF to respond until the operatives retreated. No casualties were reported.",26/12/2022,4th,19:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Free Town,NGA13227, , , , ,Minor Outpost or Camp (Any actor),11.2937,14.0937, ,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,31/12/2022,20:56,nga:63b09711,14.0937,11.2937
50,Verified,"Ten OAG operatives with rifles and on four motorcycles set up an informal VCP along the road. They stopped a commercial vehicle ferrying cartons of soft drinks in transit and inquired about the content of the cartons, the driver said they were soft drink",26/12/2022,4th,14:00,Nigeria,nga,Borno,NG008,Magumeri,NG008020,Ambudu,NGA20602, , , , ,Vehicle Check Point (VCP),12.19829,13.08554, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Unresolved Abduction, ,Perpetrated, ,MAIDUGURI - GAJIRAM RD, ,27/12/2022,09:03,nga:63aaa84f,13.08554,12.19829
51,Verified,"OAG operatives with rifles attacked GF/CJTF and hunters while on patrol in the area, prompting them to return fire until the CJTF members and hunters retreated and called for GF/NA reinforcement. Shortly after, a GF/NA reinforcement team deployed to the",26/12/2022,4th,12:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Guduf,NGA100491, , , , ,N/A,11.092,13.7357,Guduf Mountain,OAG,Unknown OAG (NGA), , ,Government Forces,Para Military/PSC,Civilian Joint Task Force (CJTF), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,27/12/2022,08:32,nga:63aaa1ef,13.7357,11.092
52,Verified,"GF/CJTF on patrol raided an OAG camp and opened small arms fire at ten OAG operatives armed with rifles, prompting the operatives to return fire. The clash lasted for several minutes until the operatives vacated the camp. One rifle, four motorcycles, and",26/12/2022,4th,01:00,Nigeria,nga,Borno,NG008,Mafa,NG008019,Loskuri Gana,NGA20444, , , , ,Minor Outpost or Camp (Any actor),11.832971,13.409456,OAG camp.,Government Forces,Para Military/PSC,Civilian Joint Task Force (CJTF), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,29/12/2022,09:03,nga:63ad4d94,13.409456,11.832971
53,Verified,GF/NA apprehended a male civilian at his residence suspected of being an OAG informant.,26/12/2022,4th,00:00,Nigeria,nga,Yobe,NG036,Gujba,NG036007,Buni Yadi,NGA25383, , , , ,Private Residence,11.276125,12.007707,Lemun Tsami Area.,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,26/12/2022,21:34,nga:63aa0712,12.007707,11.276125
54,Verified,GF/NA fired at least two artillery projectiles toward Kurana Bassa Mountain upon reports of suspected OAG movement. No casualties were reported.,25/12/2022,4th,22:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Gwoza,NGA17121, , , , ,Population Centre Outskirts,11.08309,13.694164, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,"Artillery, Rockets & Missiles",Artillery, ,Perpetrated, , , ,26/12/2022,11:45,nga:63a97bab,13.694164,11.08309
55,Verified,GF/NA fired small arms fire toward Marte axis as Christmas celebratory gunshots in their base. No casualties were reported.,25/12/2022,4th,19:00,Nigeria,nga,Borno,NG008,Monguno,NG008024,Monguno,NGA22707, , , , ,Major Base or Station (Any actor),12.671276,13.616704,GF Base,Government Forces,Army,Nigerian Army (NA), ,Unknown Actor, , , , , , , ,Accident,Celebratory Gunfire, , ,Perpetrated, , , ,26/12/2022,11:52,nga:63a97f75,13.616704,12.671276
56,Verified,"OAG operatives with rifles and on foot arrived at the location and attacked a GF/NA position, prompting the GF to return fire. The armed clash lasted for several minutes until the operatives retreated. There were no casualties reported.",25/12/2022,4th,17:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Kurana Bassa,NGA17193, , , , ,Minor Outpost or Camp (Any actor),11.065278,13.707611,GF Position Near Kurana Bassa Mountain,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,25/12/2022,21:46,nga:63a8b936,13.707611,11.065278
57,Verified,"OAG operatives with rifles and on foot attacked the location with small arms fire, prompting GF/NA to deploy to the scene and engage them in an exchange of fire that lasted for several minutes until the operatives retreated. There were no casualties repo",25/12/2022,4th,16:00,Nigeria,nga,Borno,NG008,Mafa,NG008019,Mafa,NGA20464, , , , ,N/A,11.923903,13.600244, ,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,26/12/2022,12:07,nga:63a98390,13.600244,11.923903
58,Verified,GF/vigilantes with hunters manning a VCP arrested a male OAG logistic supply trying to smuggle food items and clothes concealed in a sack. GF seized the items.,25/12/2022,4th,15:00,Nigeria,nga,Adamawa,NG002,Madagali,NG002010,Shuwa,NGA11182, , , , ,Vehicle Check Point (VCP),10.747551,13.415045, ,Government Forces,Para Military/PSC,Para-Military/PSC (NGA), ,OAG,Unknown OAG (NGA), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,26/12/2022,11:09,nga:63a972e5,13.415045,10.747551
59,Verified,"OAG operatives with rifles and on motorcycles set up an informal VCP along the road. They stopped several commercial vehicles in transit and paid the drivers more than the usual price for fuel. Subsequently, the operatives stopped a private vehicle ferry",25/12/2022,4th,13:00,Nigeria,nga,Borno,NG008,Magumeri,NG008020,Madamari,NGA21099, , , , ,Vehicle Check Point (VCP),12.29312,12.78394, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, ,MAIDUGURI - GUBIO RD, ,25/12/2022,22:04,nga:63a8bd13,12.78394,12.29312
60,Verified,"Several OAG operatives on motorcycles armed with rifles arrived in the area and ordered all fishermen to pay a ten thousand naira tax before fishing and demanded that the tax be ready when they returned. Afterwards, the operatives left the area. No casua",25/12/2022,4th,13:00,Nigeria,nga,Borno,NG008,Dikwa,NG008008,Bakassi,NGABa1616751091859, , , , ,Waterways,12.0059,13.8826, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Threat,Armed Threat (Firearm), , ,Perpetrated, , , ,30/12/2022,10:55,nga:63aeb7f1,13.8826,12.0059
61,Verified,"GF/NAF conducted airstrikes against an OAG operatives' gathering suspected to be an OAG market that killed at least 30 OAG operatives. The airstrike is part of the ""Show No Mercy"" operation.",25/12/2022,4th,11:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Yerimari Kura,NGA13487, , , , ,"Public Commercial Facility (Hotel, Restaurant, Mall, Stadium)",11.455203,13.679264, ,Government Forces,Airforce,Nigerian Air Force (NAF), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Platforms,Airstrike, ,Perpetrated, , , ,27/12/2022,14:53,nga:63aafb73,13.679264,11.455203
